course_title;url;price;num_subscribers;num_reviews;num_lectures;level;Rating;content_duration;published_timestamp;subject
Mobile App Design in Photoshop from Scratch - UI & UX DESIGN;https://www.udemy.com/mobile-app-design-in-photoshop-complete-music-app-design/;195;1282;17;19;All Levels;97;25;28/12/16 14:24;Graphic Design
Mobile App Design: From Beginner to Intermediate;https://www.udemy.com/mobile-app-design-from-beginner-to-intermediate/;140;896;21;108;Beginner Level;12;10;20/2/17 12:42;Graphic Design
Mobile App Design: From Beginner to Intermediate;https://www.udemy.com/mobile-app-design-from-beginner-to-intermediate/;140;896;21;108;Beginner Level;12;10;20/2/17 12:42;Graphic Design
Modal Theory for Guitar (Guitar Lessons from Lutz Academy);https://www.udemy.com/modal-theory-for-guitar/;50;1039;29;9;All Levels;7;15;6/5/16 10:32;Musical Instruments
Modal Theory for Guitar (Guitar Lessons from Lutz Academy);https://www.udemy.com/modal-theory-for-guitar/;50;1039;29;9;All Levels;7;15;6/5/16 10:32;Musical Instruments
Modern Country Guitar: Technique Booster;https://www.udemy.com/modern-country-guitar/;30;1152;16;42;Beginner Level;35;25;26/1/17 17:37;Musical Instruments
Modern Country Guitar: Technique Booster;https://www.udemy.com/modern-country-guitar/;30;1152;16;42;Beginner Level;35;25;26/1/17 17:37;Musical Instruments
Modern E-Commerce Store In php & mysqli With Bootstrap;https://www.udemy.com/modern-e-commerce-store-in-php-mysqli-with-bootstrap/;50;240;45;358;All Levels;7;665;9/12/16 11:18;Subject: Web Development
Modern E-Commerce Store In php & mysqli With Bootstrap;https://www.udemy.com/modern-e-commerce-store-in-php-mysqli-with-bootstrap/;50;240;45;358;All Levels;7;665;9/12/16 11:18;Web Development
Modern JavaScript: Building Real-World, Real-Time Apps;https://www.udemy.com/real-world-real-time-modern-javascript/;50;1871;154;60;All Levels;67;135;30/3/16 16:15;Web Development
Modern Piano Lessons For Beginners;https://www.udemy.com/modern-piano-lessons-for-beginners/;20;736;6;46;Beginner Level;7;5;1/4/14 17:01;Musical Instruments
Modern Piano Lessons For Beginners;https://www.udemy.com/modern-piano-lessons-for-beginners/;20;736;6;46;Beginner Level;7;5;1/4/14 17:01;Musical Instruments
Modern React with Redux;https://www.udemy.com/react-redux/;180;50815;15117;150;All Levels;62;265;28/12/15 14:20;Subject: Web Development
Modern React with Redux;https://www.udemy.com/react-redux/;180;50815;15117;150;All Levels;62;265;28/12/15 14:20;Web Development
Modern Rock Guitar Techniques;https://www.udemy.com/modern-rock-guitar-techniques/;50;3157;375;32;Beginner Level;11;3;8/12/16 11:21;Musical Instruments
Modern Rock Guitar Techniques;https://www.udemy.com/modern-rock-guitar-techniques/;50;3157;375;32;Beginner Level;11;3;8/12/16 11:21;Musical Instruments
Modern Web Development with Laravel 5.2 (PHP Framework);https://www.udemy.com/modern-web-development-with-laravel/;120;2142;536;71;All Levels;99;12;24/1/16 12:33;Subject: Web Development
Modern Web Development with Laravel 5.2 (PHP Framework);https://www.udemy.com/modern-web-development-with-laravel/;120;2142;536;71;All Levels;99;12;24/1/16 12:33;Web Development
Modern Web Development with SASS, Gulp, NPM & Web Workflows;https://www.udemy.com/modern-web-development-with-sass-gulp-npm-web-workflows/;95;502;62;59;Intermediate Level;3;5;30/12/16 22:11;Web Development
Monatlich Geld anlegen fðr spðter!;https://www.udemy.com/monatlich-geld-anlegen/;30;5983;135;7;Beginner Level;74;616666667;6/10/15 15:05;Business Finance
Monatlich Geld anlegen fðr spðter!;https://www.udemy.com/monatlich-geld-anlegen/;30;5983;135;7;Beginner Level;74;616666667;6/10/15 15:05;Business Finance
Monetizing Your Website: How to Add Cost-Per-Action (CPA);https://www.udemy.com/monetizing-your-website-how-to-add-cost-per-action-cpa/;35;142;4;18;All Levels;78;1;30/6/14 12:05;Business Finance
Monetizing Your Website: How to Add Cost-Per-Action (CPA);https://www.udemy.com/monetizing-your-website-how-to-add-cost-per-action-cpa/;35;142;4;18;All Levels;78;1;30/6/14 12:05;Business Finance
MongooseJS Essentials - Learn MongoDB for Node.js;https://www.udemy.com/mongoosejs-essentials/;0;21682;1106;8;Beginner Level;1;733333333;12/3/16 11:04;Subject: Web Development
MongooseJS Essentials - Learn MongoDB for Node.js;https://www.udemy.com/mongoosejs-essentials/;0;21682;1106;8;Beginner Level;1;733333333;12/3/16 11:04;Web Development
Morphing  with After Effect : Everything you need to know;https://www.udemy.com/adobe-after-effect-morph-anything/;20;421;10;18;All Levels;36;1;21/7/16 9:08;Graphic Design
Morphing with After Effect : Everything you need to know;https://www.udemy.com/adobe-after-effect-morph-anything/;20;421;10;18;All Levels;36;1;21/7/16 9:08;Graphic Design
